Date,City,City_ID,Housing_Price_Index
2005-01,Montréal CMA,2011S0503462,75.9
2005-02,Montréal CMA,2011S0503462,76.2
2005-03,Montréal CMA,2011S0503462,76.7
2005-04,Montréal CMA,2011S0503462,76.9
2005-05,Montréal CMA,2011S0503462,76.9
2005-06,Montréal CMA,2011S0503462,77.1
2005-07,Montréal CMA,2011S0503462,77.1
2005-08,Montréal CMA,2011S0503462,77.3
2005-09,Montréal CMA,2011S0503462,77.8
2005-10,Montréal CMA,2011S0503462,78.2
2005-11,Montréal CMA,2011S0503462,78.4
2005-12,Montréal CMA,2011S0503462,78.4
2006-01,Montréal CMA,2011S0503462,78.7
2006-02,Montréal CMA,2011S0503462,79.2
2006-03,Montréal CMA,2011S0503462,79.3
2006-04,Montréal CMA,2011S0503462,80.1
2006-05,Montréal CMA,2011S0503462,80.4
2006-06,Montréal CMA,2011S0503462,80.6
2006-07,Montréal CMA,2011S0503462,80.6
2006-08,Montréal CMA,2011S0503462,81
2006-09,Montréal CMA,2011S0503462,81.2
2006-10,Montréal CMA,2011S0503462,81.4
2006-11,Montréal CMA,2011S0503462,81.9
2006-12,Montréal CMA,2011S0503462,81.9
2007-01,Montréal CMA,2011S0503462,82.3
2007-02,Montréal CMA,2011S0503462,83.1
2007-03,Montréal CMA,2011S0503462,83.2
2007-04,Montréal CMA,2011S0503462,83.2
2007-05,Montréal CMA,2011S0503462,83.6
2007-06,Montréal CMA,2011S0503462,83.7
2007-07,Montréal CMA,2011S0503462,83.7
2007-08,Montréal CMA,2011S0503462,84.6
2007-09,Montréal CMA,2011S0503462,84.8
2007-10,Montréal CMA,2011S0503462,84.9
2007-11,Montréal CMA,2011S0503462,85.3
2007-12,Montréal CMA,2011S0503462,85.3
2008-01,Montréal CMA,2011S0503462,86
2008-02,Montréal CMA,2011S0503462,86.9
2008-03,Montréal CMA,2011S0503462,86.9
2008-04,Montréal CMA,2011S0503462,86.8
2008-05,Montréal CMA,2011S0503462,88.3
2008-06,Montréal CMA,2011S0503462,88.4
2008-07,Montréal CMA,2011S0503462,88.5
2008-08,Montréal CMA,2011S0503462,89
2008-09,Montréal CMA,2011S0503462,88.9
2008-10,Montréal CMA,2011S0503462,89
2008-11,Montréal CMA,2011S0503462,89.2
2008-12,Montréal CMA,2011S0503462,89.2
2009-01,Montréal CMA,2011S0503462,89.3
2009-02,Montréal CMA,2011S0503462,89.6
2009-03,Montréal CMA,2011S0503462,89.9
2009-04,Montréal CMA,2011S0503462,89.9
2009-05,Montréal CMA,2011S0503462,90
2009-06,Montréal CMA,2011S0503462,90.1
2009-07,Montréal CMA,2011S0503462,90.1
2009-08,Montréal CMA,2011S0503462,90.1
2009-09,Montréal CMA,2011S0503462,90.3
2009-10,Montréal CMA,2011S0503462,90.6
2009-11,Montréal CMA,2011S0503462,90.9
2009-12,Montréal CMA,2011S0503462,91.1
2010-01,Montréal CMA,2011S0503462,91.1
2010-02,Montréal CMA,2011S0503462,91.4
2010-03,Montréal CMA,2011S0503462,92.3
2010-04,Montréal CMA,2011S0503462,92.3
