City,City_ID,Income_Type,Income
Calgary CMA,2021S0503825,Median household total income (2020) (2020 constant dollars),100000
Calgary CMA,2021S0503825,Median household total income (2015) (2020 constant dollars),108000
Calgary CMA,2021S0503825,Median household after-tax income (2020) (2020 constant dollars),87000
Calgary CMA,2021S0503825,Median household after-tax income (2015) (2020 constant dollars),92000
Montréal CMA,2021S0503462,Median household total income (2020) (2020 constant dollars),76000
Montréal CMA,2021S0503462,Median household total income (2015) (2020 constant dollars),67000
Montréal CMA,2021S0503462,Median household after-tax income (2020) (2020 constant dollars),65500
Montréal CMA,2021S0503462,Median household after-tax income (2015) (2020 constant dollars),58000
Ottawa-Gatineau CMA,2021S0503505,Median household total income (2020) (2020 constant dollars),98000
Ottawa-Gatineau CMA,2021S0503505,Median household total income (2015) (2020 constant dollars),89000
Ottawa-Gatineau CMA,2021S0503505,Median household after-tax income (2020) (2020 constant dollars),84000
Ottawa-Gatineau CMA,2021S0503505,Median household after-tax income (2015) (2020 constant dollars),75500
Toronto CMA,2021S0503535,Median household total income (2020) (2020 constant dollars),97000
Toronto CMA,2021S0503535,Median household total income (2015) (2020 constant dollars),85000
Toronto CMA,2021S0503535,Median household after-tax income (2020) (2020 constant dollars),85000
Toronto CMA,2021S0503535,Median household after-tax income (2015) (2020 constant dollars),74500
Vancouver CMA,2021S0503933,Median household total income (2020) (2020 constant dollars),90000
Vancouver CMA,2021S0503933,Median household total income (2015) (2020 constant dollars),78500
Vancouver CMA,2021S0503933,Median household after-tax income (2020) (2020 constant dollars),79500
Vancouver CMA,2021S0503933,Median household after-tax income (2015) (2020 constant dollars),68500
