"REF_DATE","GEO","DGUID","New housing price indexes","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2005-01","Montréal, Quebec","2011S0503462","Total (house and land)","Index, 201612=100","347","units","0","v111955484","15.1","75.9","","","","1"
"2005-02","Montréal, Quebec","2011S0503462","Total (house and land)","Index, 201612=100","347","units","0","v111955484","15.1","76.2","","","","1"
"2005-03","Montréal, Quebec","2011S0503462","Total (house and land)","Index, 201612=100","347","units","0","v111955484","15.1","76.7","","","","1"
"2005-04","Montréal, Quebec","2011S0503462","Total (house and land)","Index, 201612=100","347","units","0","v111955484","15.1","76.9","","","","1"
"2005-05","Montréal, Quebec","2011S0503462","Total (house and land)","Index, 201612=100","347","units","0","v111955484","15.1","76.9","","","","1"
"2005-06","Montréal, Quebec","2011S0503462","Total (house and land)","Index, 201612=100","347","units","0","v111955484","15.1","77.1","","","","1"
"2005-07","Montréal, Quebec","2011S0503462","Total (house and land)","Index, 201612=100","347","units","0","v111955484","15.1","77.1","","","","1"
"2005-08","Montréal, Quebec","2011S0503462","Total (house and land)","Index, 201612=100","347","units","0","v111955484","15.1","77.3","","","","1"
"2005-09","Montréal, Quebec","2011S0503462","Total (house and land)","Index, 201612=100","347","units","0","v111955484","15.1","77.8","","","","1"
"2005-10","Montréal, Quebec","2011S0503462","Total (house and land)","Index, 201612=100","347","units","0","v111955484","15.1","78.2","","","","1"
"2005-11","Montréal, Quebec","2011S0503462","Total (house and land)","Index, 201612=100","347","units","0","v111955484","15.1","78.4","","","","1"
"2005-12","Montréal, Quebec","2011S0503462","Total (house and land)","Index, 201612=100","347","units","0","v111955484","15.1","78.4","","","","1"
"2006-01","Montréal, Quebec","2011S0503462","Total (house and land)","Index, 201612=100","347","units","0","v111955484","15.1","78.7","","","","1"
"2006-02","Montréal, Quebec","2011S0503462","Total (house and land)","Index, 201612=100","347","units","0","v111955484","15.1","79.2","","","","1"
"2006-03","Montréal, Quebec","2011S0503462","Total (house and land)","Index, 201612=100","347","units","0","v111955484","15.1","79.3","","","","1"
"2006-04","Montréal, Quebec","2011S0503462","Total (house and land)","Index, 201612=100","347","units","0","v111955484","15.1","80.1","","","","1"
"2006-05","Montréal, Quebec","2011S0503462","Total (house and land)","Index, 201612=100","347","units","0","v111955484","15.1","80.4","","","","1"
"2006-06","Montréal, Quebec","2011S0503462","Total (house and land)","Index, 201612=100","347","units","0","v111955484","15.1","80.6","","","","1"
"2006-07","Montréal, Quebec","2011S0503462","Total (house and land)","Index, 201612=100","347","units","0","v111955484","15.1","80.6","","","","1"
"2006-08","Montréal, Quebec","2011S0503462","Total (house and land)","Index, 201612=100","347","units","0","v111955484","15.1","81.0","","","","1"
"2006-09","Montréal, Quebec","2011S0503462","Total (house and land)","Index, 201612=100","347","units","0","v111955484","15.1","81.2","","","","1"
"2006-10","Montréal, Quebec","2011S0503462","Total (house and land)","Index, 201612=100","347","units","0","v111955484","15.1","81.4","","","","1"
