"REF_DATE","GEO","DGUID","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Montréal (CMA), Quebec","2021S0503462","Total - gender","All ages","Persons","249","units","0","v1589878032","14.1.1","4330143","","","","0"
"2022","Montréal (CMA), Quebec","2021S0503462","Total - gender","All ages","Persons","249","units","0","v1589878032","14.1.1","4372296","","","","0"
"2023","Montréal (CMA), Quebec","2021S0503462","Total - gender","All ages","Persons","249","units","0","v1589878032","14.1.1","4465221","","","","0"
"2024","Montréal (CMA), Quebec","2021S0503462","Total - gender","All ages","Persons","249","units","0","v1589878032","14.1.1","4572813","","","","0"
"2025","Montréal (CMA), Quebec","2021S0503462","Total - gender","All ages","Persons","249","units","0","v1589878032","14.1.1","4597837","","","","0"
"2021","Ottawa - Gatineau (CMA), Ontario part, Ontario","2021S050535505","Total - gender","All ages","Persons","249","units","0","v1589883207","16.1.1","1184369","","","","0"
"2022","Ottawa - Gatineau (CMA), Ontario part, Ontario","2021S050535505","Total - gender","All ages","Persons","249","units","0","v1589883207","16.1.1","1209897","","","","0"
"2023","Ottawa - Gatineau (CMA), Ontario part, Ontario","2021S050535505","Total - gender","All ages","Persons","249","units","0","v1589883207","16.1.1","1246173","","","","0"
"2024","Ottawa - Gatineau (CMA), Ontario part, Ontario","2021S050535505","Total - gender","All ages","Persons","249","units","0","v1589883207","16.1.1","1291272","","","","0"
"2025","Ottawa - Gatineau (CMA), Ontario part, Ontario","2021S050535505","Total - gender","All ages","Persons","249","units","0","v1589883207","16.1.1","1325788","","","","0"
"2021","Toronto (CMA), Ontario","2021S0503535","Total - gender","All ages","Persons","249","units","0","v1589887692","22.1.1","6472951","","","","0"
"2022","Toronto (CMA), Ontario","2021S0503535","Total - gender","All ages","Persons","249","units","0","v1589887692","22.1.1","6591642","","","","0"
"2023","Toronto (CMA), Ontario","2021S0503535","Total - gender","All ages","Persons","249","units","0","v1589887692","22.1.1","6840723","","","","0"
"2024","Toronto (CMA), Ontario","2021S0503535","Total - gender","All ages","Persons","249","units","0","v1589887692","22.1.1","7109866","","","","0"
"2025","Toronto (CMA), Ontario","2021S0503535","Total - gender","All ages","Persons","249","units","0","v1589887692","22.1.1","7108874","","","","0"
"2021","Calgary (CMA), Alberta","2021S0503825","Total - gender","All ages","Persons","249","units","0","v1589908737","37.1.1","1540242","","","","0"
"2022","Calgary (CMA), Alberta","2021S0503825","Total - gender","All ages","Persons","249","units","0","v1589908737","37.1.1","1587723","","","","0"
"2023","Calgary (CMA), Alberta","2021S0503825","Total - gender","All ages","Persons","249","units","0","v1589908737","37.1.1","1680332","","","","0"
"2024","Calgary (CMA), Alberta","2021S0503825","Total - gender","All ages","Persons","249","units","0","v1589908737","37.1.1","1783661","","","","0"
"2025","Calgary (CMA), Alberta","2021S0503825","Total - gender","All ages","Persons","249","units","0","v1589908737","37.1.1","1836012","","","","0"
"2021","Vancouver (CMA), British Columbia","2021S0503933","Total - gender","All ages","Persons","249","units","0","v1589917707","44.1.1","2771430","","","","0"
"2022","Vancouver (CMA), British Columbia","2021S0503933","Total - gender","All ages","Persons","249","units","0","v1589917707","44.1.1","2855205","","","","0"
"2023","Vancouver (CMA), British Columbia","2021S0503933","Total - gender","All ages","Persons","249","units","0","v1589917707","44.1.1","2970008","","","","0"
"2024","Vancouver (CMA), British Columbia","2021S0503933","Total - gender","All ages","Persons","249","units","0","v1589917707","44.1.1","3081713","","","","0"
"2025","Vancouver (CMA), British Columbia","2021S0503933","Total - gender","All ages","Persons","249","units","0","v1589917707","44.1.1","3088036","","","","0"


