Year,City,City_ID,Population,Housing_Price_Index,AfterTax_Income_2020,Total_Income_2020,Vacancy_2024,Vacancy_2025,Turnover_2024,Turnover_2025,Rent_2024,Rent_2025,RentGrowth_2024,RentGrowth_2025,Population_Growth,HPI_Growth,Rent_scaled,HPI_scaled,Pop_scaled,Vacancy_scaled,Housing_Pressure_Score
2021,Calgary CMA,2021S0503825,1540242,105.55833333333334,87000,100000,4.8,5.0,23.6,24.9,1882.0,1914.0,8.9,,,,0.5585054080629301,0.0,,1.0,
2022,Calgary CMA,2021S0503825,1587723,122.79166666666667,87000,100000,4.8,5.0,23.6,24.9,1882.0,1914.0,8.9,,3.082697394305578,16.3258861608905,0.5585054080629301,0.2554663372452133,0.5024359411378958,1.0,0.0791019216115098
2023,Calgary CMA,2021S0503825,1680332,126.46666666666665,87000,100000,4.8,5.0,23.6,24.9,1882.0,1914.0,8.9,,5.832818445031029,2.9928741092636546,0.5585054080629301,0.3099444101297095,0.9486470825219354,1.0,0.2042742251786438
2024,Calgary CMA,2021S0503825,1783661,131.5,87000,100000,4.8,5.0,23.6,24.9,1882.0,1914.0,8.9,,6.149320491426691,3.979968371112297,0.5585054080629301,0.38455836936380505,0.9999999999999999,1.0,0.23576594435668374
2025,Calgary CMA,2021S0503825,1836012,131.38333333333333,87000,100000,4.8,5.0,23.6,24.9,1882.0,1914.0,8.9,,2.935030815833284,-0.08871989860583795,0.5585054080629301,0.382828906732551,0.47847682395393887,1.0,0.10495278468735503
2021,Montréal CMA,2021S0503462,4330143,135.525,65500,76000,2.1,2.9,11.1,9.4,1176.0,1346.0,6.3,7.2,,,0.0,0.44422483014206304,,0.0,
2022,Montréal CMA,2021S0503462,4372296,150.42499999999998,65500,76000,2.1,2.9,11.1,9.4,1176.0,1346.0,6.3,7.2,0.973478243097281,10.9942814978786,0.0,0.665101914762199,0.16021206534106056,0.0,0.2063284950258149
2023,Montréal CMA,2021S0503462,4465221,151.64166666666668,65500,76000,2.1,2.9,11.1,9.4,1176.0,1346.0,6.3,7.2,2.1253135652298027,0.8088194559858319,0.0,0.6831377393452753,0.3470990220587032,0.0,0.2575591903509946
2024,Montréal CMA,2021S0503462,4572813,152.025,65500,76000,2.1,2.9,11.1,9.4,1176.0,1346.0,6.3,7.2,2.409555988382217,0.25278892125075725,0.0,0.6888202594193948,0.3932177687339257,0.0,0.27050950703833015
2025,Montréal CMA,2021S0503462,4597837,155.32500000000002,65500,76000,2.1,2.9,11.1,9.4,1176.0,1346.0,6.3,7.2,0.5472342735204805,2.1706956092748086,0.0,0.7377393452748613,0.09105336117319975,0.0,0.20719817661201526
2021,Ottawa-Gatineau CMA,2021S050535505,1184369,154.925,84000,98000,2.6,3.0,14.5,15.4,1880.0,1926.0,5.0,3.4,,,0.5703048180924286,0.7318097591105623,,0.04761904761904745,
2022,Ottawa-Gatineau CMA,2021S050535505,1209897,173.01666666666665,84000,98000,2.6,3.0,14.5,15.4,1880.0,1926.0,5.0,3.4,2.1554093361106252,11.677693507611187,0.5703048180924286,1.0000000000000002,0.3519821046677476,0.04761904761904745,0.46866696878528225
2023,Ottawa-Gatineau CMA,2021S050535505,1246173,170.76666666666665,84000,98000,2.6,3.0,14.5,15.4,1880.0,1926.0,5.0,3.4,2.998271753711257,-1.3004527502167407,0.5703048180924286,0.9666460778258184,0.4887377581281941,0.04761904761904745,0.49451740160684843
2024,Ottawa-Gatineau CMA,2021S050535505,1291272,164.60833333333332,84000,98000,2.6,3.0,14.5,15.4,1880.0,1926.0,5.0,3.4,3.618999930186262,-3.6062853796603567,0.5703048180924286,0.8753551575046326,0.5894518078028738,0.04761904761904745,0.49687318394522184
